#,Name,Image,Type,Source,Season,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Catalog Keyword,Name (1.0),Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Hex ID [Wall] (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
449,toad shirt,,Shirt,Able Sisters,Fall,Yes,420,-,105,84,5,3,-,Rustic / Fairy Tale,-,red,white,cute,Unisex,Dotted,,-,-,きのこもようのふくL,jersey champiñón,jersey champiñón,pull Toad,pull Toad,Pilzpulli,maglia rossa a pois,버섯 모양 옷 L,1.0,25A9,25F6,362F,tops_polka_mush,No,,,Toad shirt,,,-
450,Toad tee,,T-Shirt,Able Sisters,Fall,Yes,340,-,85,68,4,3,-,Rustic,-,red,white,cute,Unisex,Dotted,,-,-,きのこもようのふく,camiseta champiñón,camiseta champiñón,t-shirt Toad,t-shirt Toad,Pilzshirt,maglietta rossa pois,버섯 모양 옷,1.0,2499,24E6,351F,tops_polka_mush,Yes,,,-,,,Toad tee
451,town-hall spring top,,T-Shirt,Isabelle's RV,-,No,-,-,200,-,10,300,-,-,-,green,green,official,Female,-,,-,-,やくばのなつふく,secretaria primavera,secretaria primavera,tenue mairie (été),tenue mairie (été),Rathaus-Sommeroutfit,abito municipio est.,마을사무소 하복,1.4,-,267C,36B5,tops_sza,Yes,,,-,,,-
452,town-hall winter top,,Shirt,Isabelle's RV,-,No,-,-,200,-,10,300,-,-,-,yellow,yellow,official,Female,-,,-,-,やくばのふゆふく,secretaria invierno,secretaria invierno,tenue mairie (hiver),tenue mairie (hiver),Rathaus-Winteroutfit,abito municipio inv.,마을사무소 동복,1.4,-,267D,36B6,tops_szb,Yes,,,-,,,-
453,tropical tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,Harmonious,-,purple,red,iconic,Female,Nature,,-,-,ポリネシアンなふくN,top tropical,top tropical,débardeur tropique,débardeur tropique,Tropik-Top,canotta tropicale,폴리네시안 옷 N,1.0,25F9,2646,367F,tops_polynesia,Yes,,,-,,,-
454,tropical tee,,T-Shirt,Able Sisters,Summer,Yes,370,-,92,73,4,3,-,Harmonious / Rustic,-,purple,red,iconic,Female,Nature,,-,-,ポリネシアンなふく,camiseta tropical,camiseta tropical,t-shirt tropique,t-shirt tropique,Tropik-Shirt,maglietta tropicale,폴리네시안 옷,1.0,250B,2558,3591,tops_polynesia,Yes,,,-,,,tropical tee
455,tulip tee,,T-Shirt,Able Sisters,Spring,Yes,280,-,70,56,3,3,-,Rustic,-,yellow,red,cute,Unisex,Manufactured,,-,-,チューリップのふく,camiseta tulipán,camiseta tulipán,t-shirt tulipe,t-shirt tulipe,Seerosenshirt,maglietta tulipano,튤립 옷,1.0,2453,24A0,34D9,tops_tulip,Yes,,,-,,,-
456,tuxedo,,Shirt,GracieGrace,-,No,"7,600",-,"1,900",-,95,251,dancer,-,-,black,black,official,Male,-,,-,-,タキシード,esmoquin,esmoquin,smoking,smoking,Smokingjackett,giacca smoking,턱시도,1.0,251C,2569,35A2,tops_tuxedo,No,,,tuxedo,,,tuxedo
457,twinkle tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,blue,white,flashy,Unisex,Nature,,-,-,トゥインクルなふくN,top brillos,top brillos,débardeur brillant,débardeur brillant,Sternchentop,canotta notte,반짝이는 옷 N,1.0,25EB,2638,3671,tops_twinkle,Yes,,,-,,,-
458,twinkle tee,,T-Shirt,Able Sisters,Summer,Yes,480,-,120,96,6,3,-,-,-,blue,white,flashy,Unisex,Nature,,-,-,トゥインクルなふく,camiseta brillos,camiseta brillos,t-shirt brillant,t-shirt brillant,Sternchenshirt,maglietta notte,반짝이는 옷,1.0,24DE,252B,3564,tops_twinkle,Yes,,,-,,,twinkle tee
459,two-ball tee,,T-Shirt,Able Sisters,-,Yes,340,-,85,68,4,3,-,-,-,blue,blue,sporty,Unisex,Manufactured,,-,-,2ばんだまのふく,camiseta bola 2,camiseta bola 2,t-shirt nº 2,t-shirt nº 2,2er-Shirt,maglietta palla 2,2번공 옷,1.0,2449,2496,34CF,tops_numball_2,Yes,,,-,,,two-ball tee
460,uncommon shirt,,Shirt,Able Sisters,Winter,Yes,360,-,90,72,4,3,-,-,-,brown,red,flashy,Unisex,Nature,,-,-,いかめしいニット,jersey original,jersey original,pull original,pull original,Ethnopulli,maglione insolito,위엄있는 니트,1.0,24C5,2512,354B,tops_knit_stately,No,,,uncommon shirt,,,uncommon shirt
461,U-R-here tee,,T-Shirt,Able Sisters,-,Yes,350,-,87,69,4,3,-,-,-,white,red,rock 'n' roll,Unisex,Manufactured,,-,-,やじるしのふく,camiseta flecha,camiseta flecha,t-shirt flèche,t-shirt flèche,Pfeilshirt,maglietta sei qui,화살표 옷,1.0,2456,24A3,34DC,tops_arrow,Yes,,,-,,,-
462,Varia Suit,,Shirt,Fortune,-,No,-,-,210,-,10,151,bounty hunter,Sci-Fi / Toy Shop,-,orange,orange,rock 'n' roll,Female,-,,-,-,バリアスーツ・ボディ,chaqueta climática,chaqueta climática,veste Varia,veste Varia,Varia-Jacke,maglia termotuta,배리어 슈트,1.0,2544,2591,35CA,tops_nin_samus,No,,,Varia suit,,,-
463,vegetarian shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,orange,green,basic,Unisex,V-Striped,,-,-,ベジタリアンなふくL,jersey campo,jersey campo,pull rayures blanc,pull rayures blanc,Streifenpulli,maglia vegetale,채식주의자 옷 L,1.0,25B9,2606,363F,tops_stripe_veg,No,,,vegetarian shirt,,,-
464,vegetarian tee,,T-Shirt,Able Sisters,-,Yes,280,-,70,56,3,3,-,-,-,orange,green,basic,Unisex,V-Striped,,-,-,ベジタリアンなふく,camiseta campo,camiseta campo,t-shirt ray. blanc,t-shirt ray. blanc,Streifenshirt,maglietta vegetale,채식주의자 옷,1.0,24A4,24F1,352A,tops_stripe_veg,Yes,,,-,,,vegetarian tee
465,vertigo shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,Harmonious,-,blue,white,historical,Unisex,Nature,,-,-,やがらのふくL,jersey vértigo,jersey vértigo,pull vertige,pull vertige,3D-Pulli,maglia vertigine,화살깃무늬 옷 L,1.0,25D0,261D,3656,tops_ptn_shaft,No,,,vertigo shirt,,,-
466,vertigo tee,,T-Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,-,Harmonious,-,blue,white,historical,Unisex,Nature,,-,-,やがらのふく,camiseta vértigo,camiseta vértigo,t-shirt vertige,t-shirt vertige,3D-Shirt,maglietta vertigine,화살깃무늬 옷,1.0,24A9,24F6,352F,tops_ptn_shaft,Yes,,,-,,,-
467,waffle shirt,,Shirt,Able Sisters,Fall,Yes,420,-,105,84,5,3,-,-,-,red,green,iconic,Unisex,Plaid,,-,-,しぶいタータンのふくL,jersey escocés,jersey escocés,pull gaufre,pull gaufre,Waffelpulli,maglia tartan ocra,수수한 타탄 옷 L,1.0,25B8,2605,363E,tops_tartan_sibu,No,,,waffle shirt,,,waffle shirt
468,waffle tee,,T-Shirt,Able Sisters,Fall,Yes,430,-,107,85,5,3,-,-,-,red,green,iconic,Unisex,Plaid,,-,-,しぶいタータンのふく,camiseta escocesa,camiseta escocesa,t-shirt gaufre,t-shirt gaufre,Waffelshirt,magliet. tartan ocra,수수한 타탄 옷,1.0,24B4,2501,353A,tops_tartan_sibu,Yes,,,-,,,-
469,waistcoat,,Shirt,GracieGrace,-,No,"5,400",-,"1,350",-,67,299,-,-,-,gray,blue,official,Male,-,,-,-,ベストつきワイシャツ,chaleco fino,chaleco fino,gilet de smoking,gilet de smoking,Weste mit Hemd,gilet classico,베스트&와이셔츠,1.0,2574,25C1,35FA,tops_yshirt_gilet,Yes,,,-,,,waistcoat
470,watermelon shirt,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,watermelon,Rustic,-,red,red,cute,Unisex,Fruit,,-,-,すいかのふくN,top sandía,top sandía,débardeur pastèque,débardeur pastèque,Melonentop,canotta anguria,수박 옷 N,1.0,25DF,262C,3665,tops_frt_wtrmelon,No,,,watermelon shirt,,,-
471,watermelon tee,,T-Shirt,Able Sisters,Summer,Yes,640,-,160,128,8,3,watermelon,Rustic,-,red,red,cute,Unisex,Fruit,,-,-,すいかのふく,camiseta sandía,camiseta sandía,t-shirt pastèque,t-shirt pastèque,Melonenshirt,maglietta anguria,수박 옷,1.0,24FC,2549,3582,tops_frt_wtrmelon,Yes,,,-,,,watermelon tee
472,western shirt,,Shirt,Able Sisters,Winter,Yes,350,-,87,69,4,3,cowboy,-,-,brown,brown,iconic,Male,-,,-,-,ウェスタンなふく,jersey de vaquero,jersey de vaquero,pull western,pull western,Western-Hemd,maglia cowboy,웨스턴풍 옷,1.0,2510,255D,3596,tops_western,No,,,western shirt,,,western shirt
473,white tuxedo jacket,,Shirt,GracieGrace,-,No,"6,000",-,"1,500",-,75,299,-,Fairy Tale,-,white,white,official,Male,-,,-,-,しろいタキシード,esmoquin blanco,esmoquin blanco,veston blanc,veston blanc,Yachtjackett,giacca bianca,하얀 턱시도,1.0,256C,25B9,35F2,tops_tuxedo_wht,Yes,,,-,,,-
474,winter sweater,,Shirt,Able Sisters,Winter,Yes,290,-,72,57,3,3,-,-,-,white,purple,cute,Unisex,Nature,,-,-,ゆきぐになニット,jersey nórdico,jersey nórdico,pull hiver,pull hiver,Winterpulli,maglione invernale,설국 니트,1.0,24C2,250F,3548,tops_knit_winter,No,,,winter sweater,,,winter sweater
475,Wolf Link outfit,,Tank Top,W. Link's RV,-,No,-,-,200,-,10,300,-,Toy Shop,-,gray,black,iconic,Unisex,-,,-,-,ウルフなふく,top Link Lobo,top Link Lobo,tenue de Link loup,tenue de Link loup,Wolf-Link-Outfit,costume Link lupo,울프 링크 옷,1.4,-,266C,36A5,tops_nin_linkwolf,Yes,,,-,,,-
476,women's office suit,,Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,-,-,-,black,white,official,Female,-,,-,-,OLのスーツ,saco oficinista,chaqueta oficinista,tailleur,tailleur,Büroblazer,giacca tailleur,여성 회사원 옷,1.4,-,265D,3696,tops_ol,Yes,,,-,,,-
477,women's recruit suit,,Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,-,-,-,gray,gray,official,Female,-,,-,-,リクルートスーツレディス,saco pasante mujer,chaqueta becaria,costume recrue femme,costume recrue femme,AdsH-Neulings-Blazer,giacca novellina,여성용 리크루트 옷,1.4,-,265A,3693,tops_recruit_ladys,Yes,,,-,,,-
478,work shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,white,blue,official,Male,-,,-,-,ネクタイつきワイシャツ,camisa con corbata,camisa con corbata,chemise bureau,chemise bureau,Bürohemd,camicia da ufficio,넥타이&와이셔츠,1.0,255F,25AC,35E5,tops_yshirt_necktie,Yes,,,-,,,work shirt
479,wrap shirt,,Shirt,Able Sisters,-,Yes,320,-,80,64,4,3,-,Antique,-,white,beige,sporty,Male,-,,-,-,クロスたすきなふく,jersey bandoleras,jersey bandoleras,pull lancier,pull lancier,Bänderkittel,maglia a fasce,응원복,1.0,2523,2570,35A9,tops_cross,No,,,wrap shirt,,,-
480,wrestler tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,pro wrestler,-,-,red,yellow,sporty,Male,Manufactured,,-,-,プロレススーツ,top luchador,top luchador,débardeur catch,débardeur catch,Wrestlingtrikot,canotta wrestling,프로 레슬링 옷,1.0,2524,2571,35AA,tops_wrestler,Yes,,,-,,,wrestler tank
481,yellow aloha tee,,T-Shirt,Souvenir Shop,Summer,No,-,15,187,149,9,199,-,Rustic,-,yellow,green,cute,Female,Nature,,-,-,はながらのアロハ,camiseta manzanilla,camiseta manzanilla,t-shirt fleurs,t-shirt fleurs,Romantik-Shirt,maglia fiori gialli,꽃무늬 알로하셔츠,1.0,2583,25D0,3609,tops_flw_aloha,Yes,,,-,,,yellow aloha tee
482,yellow tartan shirt,,Shirt,Able Sisters,Spring,Yes,420,-,105,84,5,3,-,-,-,yellow,gray,cute,Unisex,Plaid,,-,-,きいろタータンのふくL,jersey tartán oro,jersey tartán oro,pull tartan jaune,pull tartan jaune,Kanarienpulli,maglia tartan oro,노란색 타탄 옷 L,1.0,25C8,2615,364E,tops_tartan_ylw,Yes,,,-,,,-
483,yellow tartan tee,,T-Shirt,Able Sisters,Spring,Yes,430,-,107,85,5,3,-,-,-,yellow,gray,cute,Unisex,Plaid,,-,-,きいろタータンのふく,camiseta tartán oro,camiseta tartán oro,t-shirt tartan jaune,t-shirt tartan jaune,Kanarienshirt,maglietta tartan oro,노란색 타탄 옷,1.0,2490,24DD,3516,tops_tartan_ylw,Yes,,,-,,,-
484,yellow-bar shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,yellow,white,basic,Unisex,H-Striped,,-,-,きいろボーダーのふくL,jersey toldo ocre,jersey toldo ocre,pull raies orange,pull raies orange,Aprikosenpulli,maglia bande gialle,노란색 줄무늬 옷 L,1.0,25C7,2614,364D,tops_border_ylw,Yes,,,-,,,yellow-bar shirt
485,yellow-bar tee,,T-Shirt,Able Sisters,-,Yes,320,-,80,64,4,3,-,-,-,yellow,white,basic,Unisex,H-Striped,,-,-,きいろボーダーのふく,camiseta toldo ocre,camiseta toldo ocre,t-shirt raies orange,t-shirt raies orange,Aprikosenshirt,magliet. bande gial.,노란색 줄무늬 옷,1.0,2487,24D4,350D,tops_border_ylw,Yes,,,-,,,yellow-bar tee
486,zebra tank,,Tank Top,GracieGrace,Summer,No,"5,800",-,"1,450",-,72,251,-,-,-,white,black,rock 'n' roll,Unisex,Animal,,-,-,ゼブラなふくN,top cebra,top cebra,débardeur zèbre,débardeur zèbre,Zebratop,canotta zebra,얼룩말무늬 옷 N,1.0,25FF,264C,3685,tops_anml_zebra,Yes,,,-,,,-
487,zebra tee,,T-Shirt,GracieGrace,-,No,"6,400",-,"1,600",-,80,251,-,-,-,white,black,rock 'n' roll,Unisex,Animal,,-,-,ゼブラなふく,camiseta cebra,camiseta cebra,t-shirt zèbre,t-shirt zèbre,Zebrashirt,maglietta zebra,얼룩말무늬 옷,1.0,24F1,253E,3577,tops_anml_zebra,Yes,,,-,,,-
488,zipper shirt,,Shirt,Able Sisters,-,Yes,320,-,80,64,4,3,-,-,-,black,white,rock 'n' roll,Male,Manufactured,,-,-,ジッパーのふく,jersey cremallera,jersey cremallera,pull zip,pull zip,Zipp-Jacke,maglia cerniera,지퍼 달린 옷,1.0,2515,2562,359B,tops_zipper,No,,,zipper shirt,,,zipper shirt
489,zipper tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,black,white,rock 'n' roll,Male,Manufactured,,-,-,ジッパーのふくN,top cremallera,top cremallera,débardeur zip,débardeur zip,Zipp-Top,canotta cerniera,지퍼 달린 옷 N,1.0,25E0,262D,3666,tops_zipper,Yes,,,-,,,-
-,patched shirt,,Shirt,Villagers,-,No,-,-,-400,-,-,51,-,Quirky,-,beige,aqua,historical,Unisex,-,,-,-,ボロいふく,jersey remiendos,jersey remiendos,pull rapiécé,pull rapiécé,Flickenpulli,maglia rattoppata,낡은 옷,1.0,2542,258F,35C8,tops_patched,No,,,patched shirt,,,-
